workload,protocol,threads,hotset_prob,txn_type,latency_us
1,occ,4,0.700,transfer,10.084
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,11.125
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.833
1,occ,4,0.700,transfer,9.958
1,occ,4,0.700,transfer,931.375
1,occ,4,0.700,transfer,985.750
1,occ,4,0.700,transfer,23.875
1,occ,4,0.700,transfer,10.791
1,occ,4,0.700,transfer,33.541
1,occ,4,0.700,transfer,11.583
1,occ,4,0.700,transfer,35.708
1,occ,4,0.700,transfer,23.625
1,occ,4,0.700,transfer,21.375
1,occ,4,0.700,transfer,21.458
1,occ,4,0.700,transfer,62.000
1,occ,4,0.700,transfer,61.709
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,11.708
1,occ,4,0.700,transfer,43.459
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,10.583
1,occ,4,0.700,transfer,10.250
1,occ,4,0.700,transfer,11.875
1,occ,4,0.700,transfer,10.834
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,6.958
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,6.709
1,occ,4,0.700,transfer,7.334
1,occ,4,0.700,transfer,6.792
1,occ,4,0.700,transfer,11.667
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.166
1,occ,4,0.700,transfer,6.917
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,8.292
1,occ,4,0.700,transfer,8.209
1,occ,4,0.700,transfer,7.958
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,6.708
1,occ,4,0.700,transfer,8.917
1,occ,4,0.700,transfer,10.041
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,6.959
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,565.250
1,occ,4,0.700,transfer,29.375
1,occ,4,0.700,transfer,22.708
1,occ,4,0.700,transfer,22.875
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,6.583
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,7.208
