workload,protocol,threads,hotset_prob,elapsed_s,total_commits,total_aborts,throughput_tps,abort_rate_pct,txn_type,type_commits,type_aborts,type_abort_pct,type_avg_latency_us,type_p50_us,type_p90_us,type_p99_us
1,2pl,8,0.100000,0.015126,1600,0,105778.424084,0.000000,transfer,1600,0,0.000000,71.718397,47.437500,117.025000,481.712680
1,2pl,8,0.300000,0.021177,1600,0,75553.074477,0.000000,transfer,1600,0,0.000000,59.163202,22.604000,66.512500,512.782500
1,2pl,8,0.500000,0.018175,1600,0,88031.602905,0.000000,transfer,1600,0,0.000000,60.281264,15.083500,95.282800,960.137260
1,2pl,8,0.700000,0.022055,1600,0,72546.042820,0.000000,transfer,1600,0,0.000000,74.125073,8.292000,53.737200,1181.281990
1,2pl,8,0.900000,0.012941,1600,0,123633.674042,0.000000,transfer,1600,0,0.000000,50.271364,7.459000,19.504100,1063.757080
1,2pl,16,0.100000,0.049361,3200,0,64828.399328,0.000000,transfer,3200,0,0.000000,172.340932,136.770500,265.525000,655.782920
1,2pl,16,0.300000,0.033794,3200,0,94689.964343,0.000000,transfer,3200,0,0.000000,137.955357,50.604500,221.133300,1343.880750
1,2pl,16,0.500000,0.044391,3200,0,72086.346468,0.000000,transfer,3200,0,0.000000,133.490346,21.520500,198.467200,1263.436170
1,2pl,16,0.700000,0.042549,3200,0,75207.186987,0.000000,transfer,3200,0,0.000000,113.925392,7.834000,164.092000,1221.867080
1,2pl,16,0.900000,0.044692,3200,0,71601.046843,0.000000,transfer,3200,0,0.000000,104.801109,7.166000,39.649700,1194.813580
2,occ,1,0.100000,0.002784,200,0,71843.364224,0.000000,new_order,101,0,0.000000,15.248416,14.375000,17.375000,29.958000
2,occ,1,0.100000,0.002784,200,0,71843.364224,0.000000,payment,99,0,0.000000,11.406525,10.750000,12.474600,21.134500
2,occ,1,0.300000,0.002956,200,0,67656.137680,0.000000,payment,102,0,0.000000,12.091931,10.646000,16.875000,22.196340
2,occ,1,0.300000,0.002956,200,0,67656.137680,0.000000,new_order,98,0,0.000000,16.599929,14.188000,24.191900,28.166760
2,occ,1,0.500000,0.002771,200,0,72181.553932,0.000000,new_order,88,0,0.000000,15.434227,13.646000,22.062500,27.708960
2,occ,1,0.500000,0.002771,200,0,72181.553932,0.000000,payment,112,0,0.000000,11.772732,10.437000,16.925600,19.037380
2,occ,1,0.700000,0.003043,200,0,65721.007096,0.000000,payment,85,0,0.000000,12.097553,11.167000,16.208200,21.781440
2,occ,1,0.700000,0.003043,200,0,65721.007096,0.000000,new_order,115,0,0.000000,16.719957,14.666000,24.949800,30.618640
2,occ,1,0.900000,0.002456,200,0,81445.660473,0.000000,payment,97,0,0.000000,10.025330,9.584000,11.250000,15.646360
2,occ,1,0.900000,0.002456,200,0,81445.660473,0.000000,new_order,103,0,0.000000,13.398495,12.917000,14.508600,19.141340
2,occ,2,0.100000,0.006199,400,6,64530.877460,1.477833,new_order,190,4,2.061856,42.028084,21.042000,67.088100,442.265870
2,occ,2,0.100000,0.006199,400,6,64530.877460,1.477833,payment,210,2,0.943396,18.735743,12.833500,17.153900,110.242000
2,occ,2,0.300000,0.005508,400,10,72617.791504,2.439024,new_order,218,10,4.385965,39.087133,13.542000,41.066300,497.919470
2,occ,2,0.300000,0.005508,400,10,72617.791504,2.439024,payment,182,0,0.000000,11.913412,10.270500,13.820500,40.994790
2,occ,2,0.500000,0.005577,400,3,71724.756248,0.744417,new_order,208,0,0.000000,14.896615,13.687500,16.770400,25.981690
2,occ,2,0.500000,0.005577,400,3,71724.756248,0.744417,payment,192,3,1.538462,25.843313,10.167000,12.411900,19.439970
2,occ,2,0.700000,0.005824,400,6,68681.318681,1.477833,payment,204,1,0.487805,14.276770,10.750000,14.624900,73.716970
2,occ,2,0.700000,0.005824,400,6,68681.318681,1.477833,new_order,196,5,2.487562,35.940526,14.416500,18.354000,111.025600
2,occ,2,0.900000,0.007808,400,4,51229.508197,0.990099,payment,196,0,0.000000,11.216684,9.708000,15.375000,18.816950
2,occ,2,0.900000,0.007808,400,4,51229.508197,0.990099,new_order,204,4,1.923077,39.992245,13.167000,20.392100,28.992490
2,occ,4,0.100000,0.013624,800,37,58719.005265,4.420550,new_order,408,27,6.206897,91.065059,54.771000,154.021400,610.461750
2,occ,4,0.100000,0.013624,800,37,58719.005265,4.420550,payment,392,10,2.487562,33.994564,13.500000,35.221400,566.930720
